"tub","pos","trt","climate","soil","sterile","tea","genotype"
80,8,10,"it","peat",1,"sw","Sw7"
44,1,10,"it","peat",1,"sw","It24"
44,2,10,"it","peat",1,"sw","Sw11"
44,3,10,"it","peat",1,"sw","Sw7"
44,4,10,"it","peat",1,"sw","Sw47"
44,5,10,"it","peat",1,"sw","Sw43"
44,6,10,"it","peat",1,"sw","It32"
44,7,10,"it","peat",1,"sw","It41"
44,8,10,"it","peat",1,"sw","It15"
86,1,10,"it","peat",1,"sw","Sw7"
86,2,10,"it","peat",1,"sw","Sw47"
86,3,10,"it","peat",1,"sw","Sw43"
86,4,10,"it","peat",1,"sw","It41"
86,5,10,"it","peat",1,"sw","It32"
86,6,10,"it","peat",1,"sw","Sw11"
86,7,10,"it","peat",1,"sw","It15"
86,8,10,"it","peat",1,"sw","It24"
49,1,10,"it","peat",1,"sw","Sw7"
49,2,10,"it","peat",1,"sw","Sw11"
49,3,10,"it","peat",1,"sw","It32"
49,4,10,"it","peat",1,"sw","It15"
49,5,10,"it","peat",1,"sw","It41"
49,6,10,"it","peat",1,"sw","Sw43"
